Crate = 0-17
Card = 0-7 within the crate
Tower = 0-31 covers 4 x 8 covered by the card
EMAddr(0:8) = EMFGBit(0:0)+CompressedEMET(1:8)
HDAddr(0:8) = HDFGBit(0:0)+CompressedHDET(1:8) - note: HDFGBit(0:0) is not part of the hardware LUT address
LutOut(0:17)= LinearEMET(0:6)+HoEFGVetoBit(7:7)+LinearJetET(8:16)+ActivityBit(17:17)
Event	Crate	Card	Tower	EMAddr	HDAddr	LUTOut
0	0	5	19	0	0	0
0	0	5	1a	0	0	0
0	0	5	1b	0	0	0
0	0	5	1c	0	0	0
0	0	5	1d	0	0	0
0	0	5	1e	0	0	0
0	0	5	1f	0	0	0
0	0	6	0	0	0	0
0	0	6	1	0	0	0
0	0	6	2	0	0	0
0	0	6	3	0	0	0
0	0	6	4	0	0	0
0	0	6	5	0	0	0
0	0	6	6	0	0	0
0	0	6	7	0	0	0
0	0	6	8	0	0	0
0	0	6	9	0	0	0
0	0	6	a	0	0	0
0	0	6	b	0	0	0
0	0	6	c	0	0	0
0	0	6	d	0	0	0
0	0	6	e	0	0	0
0	0	6	f	0	0	0
0	0	6	10	0	0	0
0	0	6	11	0	0	0
0	0	6	12	0	0	0
0	0	6	13	0	0	0
0	0	6	14	0	0	0
0	0	6	15	0	0	0
0	0	6	16	0	0	0
0	0	6	17	0	0	0
0	0	6	18	0	0	0
0	0	6	19	0	0	0
0	0	6	1a	0	0	0
0	0	6	1b	0	0	0
0	0	6	1c	0	0	0
0	0	6	1d	0	0	0
0	0	6	1e	0	0	0
0	0	6	1f	0	0	0
0	1	0	0	0	0	0
0	1	0	1	0	0	0
0	1	0	2	0	0	0
0	1	0	3	0	0	0
0	1	0	4	0	0	0
0	1	0	5	0	0	0
0	1	0	6	0	0	0
0	1	0	7	0	0	0
0	1	0	8	0	0	0
0	1	0	9	0	0	0
0	1	0	a	0	0	0
0	1	0	b	2e	0	2e
0	1	0	c	0	0	0
0	1	0	d	0	0	0
0	1	0	e	0	0	0
0	1	0	f	0	0	0
0	1	0	10	0	0	0
0	1	0	11	0	0	0
0	1	0	12	0	0	0
0	1	0	13	0	0	0
0	1	0	14	0	0	0
0	1	0	15	0	0	0
0	1	0	16	0	0	0
0	1	0	17	0	0	0
0	1	0	18	0	0	0
0	1	0	19	0	0	0
0	1	0	1a	0	0	0
0	1	0	1b	0	0	0
0	1	0	1c	0	0	0
0	1	0	1d	0	0	0
0	1	0	1e	0	0	0
0	1	0	1f	0	0	0
0	1	1	0	0	0	0
0	1	1	1	0	0	0
0	1	1	2	0	0	0
0	1	1	3	0	0	0
0	1	1	4	0	0	0
0	1	1	5	0	0	0
0	1	1	6	0	0	0
0	1	1	7	0	0	0
0	1	1	8	0	0	0
0	1	1	9	0	0	0
0	1	1	a	0	0	0
0	1	1	b	3f	0	3f
0	1	1	c	0	0	0
0	1	1	d	0	0	0
0	1	1	e	0	0	0
0	1	1	f	0	0	0
0	1	1	10	0	0	0
0	1	1	11	0	0	0
0	1	1	12	0	0	0
0	1	1	13	0	0	0
0	1	1	14	0	0	0
0	1	1	15	0	0	0
0	1	1	16	0	0	0
0	1	1	17	0	0	0
0	1	1	18	0	0	0
0	1	1	19	0	0	0
0	1	1	1a	0	0	0
0	1	1	1b	0	0	0
0	1	1	1c	0	0	0
0	1	1	1d	0	0	0
0	1	1	1e	0	0	0
0	1	1	1f	0	0	0
0	1	2	0	0	0	0
0	1	2	1	0	0	0
0	1	2	2	0	0	0
0	1	2	3	0	0	0
0	1	2	4	0	0	0
0	1	2	5	0	0	0
0	1	2	6	0	0	0
0	1	2	7	0	0	0
0	1	2	8	0	0	0
0	1	2	9	0	0	0
0	1	2	a	0	0	0
0	1	2	b	b	0	b
0	1	2	c	0	0	0
0	1	2	d	0	0	0
0	1	2	e	0	0	0
0	1	2	f	0	0	0
0	1	2	10	0	0	0
0	1	2	11	0	0	0
0	1	2	12	0	0	0
0	1	2	13	0	0	0
0	1	2	14	0	0	0
0	1	2	15	0	0	0
0	1	2	16	0	0	0
0	1	2	17	0	0	0
0	1	2	18	0	0	0
0	1	2	19	0	0	0
0	1	2	1a	0	0	0
0	1	2	1b	0	0	0
0	1	2	1c	0	0	0
0	1	2	1d	0	0	0
0	1	2	1e	0	0	0
0	1	2	1f	0	0	0
0	1	3	0	0	0	0
0	1	3	1	0	0	0
0	1	3	2	0	0	0
0	1	3	3	0	0	0
0	1	3	4	0	0	0
0	1	3	5	0	0	0
0	1	3	6	0	0	0
0	1	3	7	0	0	0
0	1	3	8	0	0	0
0	1	3	9	0	0	0
0	1	3	a	0	0	0
0	1	3	b	1e	0	1e
0	1	3	c	0	0	0
0	1	3	d	0	0	0
0	1	3	e	0	0	0
0	1	3	f	0	0	0
0	1	3	10	0	0	0
0	1	3	11	0	0	0
0	1	3	12	0	0	0
0	1	3	13	0	0	0
0	1	3	14	0	0	0
0	1	3	15	0	0	0
0	1	3	16	0	0	0
0	1	3	17	0	0	0
0	1	3	18	0	0	0
0	1	3	19	0	0	0
0	1	3	1a	0	0	0
0	1	3	1b	0	0	0
0	1	3	1c	0	0	0
0	1	3	1d	0	0	0
0	1	3	1e	0	0	0
0	1	3	1f	0	0	0
0	1	4	0	0	0	0
0	1	4	1	0	0	0
0	1	4	2	0	0	0
0	1	4	3	0	0	0
0	1	4	4	0	0	0
0	1	4	5	0	0	0
0	1	4	6	0	0	0
0	1	4	7	0	0	0
0	1	4	8	0	0	0
0	1	4	9	0	0	0
0	1	4	a	0	0	0
0	1	4	b	0	0	0
0	1	4	c	0	0	0
0	1	4	d	0	0	0
0	1	4	e	0	0	0
0	1	4	f	0	0	0
0	1	4	10	0	0	0
0	1	4	11	0	0	0
0	1	4	12	0	0	0
0	1	4	13	0	0	0
0	1	4	14	0	0	0
0	1	4	15	0	0	0
0	1	4	16	0	0	0
0	1	4	17	0	0	0
0	1	4	18	0	0	0
0	1	4	19	0	0	0
0	1	4	1a	0	0	0
0	1	4	1b	0	0	0
0	1	4	1c	0	0	0
0	1	4	1d	0	0	0
0	1	4	1e	0	0	0
0	1	4	1f	0	0	0
0	1	5	0	0	0	0
0	1	5	1	0	0	0
0	1	5	2	0	0	0
0	1	5	3	0	0	0
0	1	5	4	0	0	0
0	1	5	5	0	0	0
0	1	5	6	0	0	0
0	1	5	7	0	0	0
0	1	5	8	0	0	0
0	1	5	9	0	0	0
0	1	5	a	0	0	0
0	1	5	b	0	0	0
0	1	5	c	0	0	0
0	1	5	d	0	0	0
0	1	5	e	0	0	0
0	1	5	f	0	0	0
0	1	5	10	0	0	0
0	1	5	11	0	0	0
0	1	5	12	0	0	0
0	1	5	13	0	0	0
0	1	5	14	0	0	0
0	1	5	15	0	0	0
0	1	5	16	0	0	0
0	1	5	17	0	0	0
0	1	5	18	0	0	0
0	1	5	19	0	0	0
0	1	5	1a	0	0	0
0	1	5	1b	0	0	0
0	1	5	1c	0	0	0
0	1	5	1d	0	0	0
0	1	5	1e	0	0	0
0	1	5	1f	0	0	0
0	1	6	0	0	0	0
0	1	6	1	0	0	0
0	1	6	2	0	0	0
0	1	6	3	0	0	0
0	1	6	4	0	0	0
0	1	6	5	0	0	0
0	1	6	6	0	0	0
0	1	6	7	0	0	0
0	1	6	8	0	0	0
0	1	6	9	0	0	0
0	1	6	a	0	0	0
0	1	6	b	0	0	0
0	1	6	c	0	0	0
0	1	6	d	0	0	0
0	1	6	e	0	0	0
0	1	6	f	0	0	0
0	1	6	10	0	0	0
0	1	6	11	0	0	0
0	1	6	12	0	0	0
0	1	6	13	0	0	0
0	1	6	14	0	0	0
0	1	6	15	0	0	0
0	1	6	16	0	0	0
0	1	6	17	0	0	0
0	1	6	18	0	0	0
0	1	6	19	0	0	0
0	1	6	1a	0	0	0
0	1	6	1b	0	0	0
0	1	6	1c	0	0	0
0	1	6	1d	0	0	0
0	1	6	1e	0	0	0
0	1	6	1f	0	0	0
0	2	0	0	0	0	0
0	2	0	1	0	0	0
0	2	0	2	0	0	0
0	2	0	3	0	0	0
0	2	0	4	0	0	0
0	2	0	5	0	0	0
0	2	0	6	0	0	0
0	2	0	7	0	0	0
0	2	0	8	0	0	0
0	2	0	9	0	0	0
0	2	0	a	0	0	0
0	2	0	b	2e	0	2e
0	2	0	c	0	0	0
0	2	0	d	0	0	0
0	2	0	e	0	0	0
0	2	0	f	0	0	0
0	2	0	10	0	0	0
0	2	0	11	0	0	0
0	2	0	12	0	0	0
0	2	0	13	0	0	0
0	2	0	14	0	0	0
0	2	0	15	0	0	0
0	2	0	16	0	0	0
0	2	0	17	0	0	0
0	2	0	18	0	0	0
0	2	0	19	0	0	0
0	2	0	1a	0	0	0
0	2	0	1b	0	0	0
0	2	0	1c	0	0	0
0	2	0	1d	0	0	0
0	2	0	1e	0	0	0
0	2	0	1f	0	0	0
0	2	1	0	0	0	0
0	2	1	1	0	0	0
0	2	1	2	0	0	0
0	2	1	3	0	0	0
0	2	1	4	0	0	0
0	2	1	5	0	0	0
0	2	1	6	0	0	0
0	2	1	7	0	0	0
0	2	1	8	0	0	0
0	2	1	9	0	0	0
0	2	1	a	0	0	0
0	2	1	b	3f	0	3f
0	2	1	c	0	0	0
0	2	1	d	0	0	0
0	2	1	e	0	0	0
0	2	1	f	0	0	0
0	2	1	10	0	0	0
0	2	1	11	0	0	0
0	2	1	12	0	0	0
0	2	1	13	0	0	0
0	2	1	14	0	0	0
0	2	1	15	0	0	0
0	2	1	16	0	0	0
0	2	1	17	0	0	0
0	2	1	18	0	0	0
0	2	1	19	0	0	0
0	2	1	1a	0	0	0
0	2	1	1b	0	0	0
0	2	1	1c	0	0	0
0	2	1	1d	0	0	0
0	2	1	1e	0	0	0
0	2	1	1f	0	0	0
0	2	2	0	0	0	0
0	2	2	1	0	0	0
0	2	2	2	0	0	0
0	2	2	3	0	0	0
0	2	2	4	0	0	0
0	2	2	5	0	0	0
0	2	2	6	0	0	0
0	2	2	7	0	0	0
0	2	2	8	0	0	0
0	2	2	9	0	0	0
0	2	2	a	0	0	0
0	2	2	b	b	0	b
0	2	2	c	0	0	0
0	2	2	d	0	0	0
0	2	2	e	0	0	0
0	2	2	f	0	0	0
0	2	2	10	0	0	0
0	2	2	11	0	0	0
0	2	2	12	0	0	0
0	2	2	13	0	0	0
0	2	2	14	0	0	0
0	2	2	15	0	0	0
0	2	2	16	0	0	0
0	2	2	17	0	0	0
0	2	2	18	0	0	0
0	2	2	19	0	0	0
0	2	2	1a	0	0	0
0	2	2	1b	0	0	0
0	2	2	1c	0	0	0
0	2	2	1d	0	0	0
0	2	2	1e	0	0	0
0	2	2	1f	0	0	0
0	2	3	0	0	0	0
0	2	3	1	0	0	0
0	2	3	2	0	0	0
0	2	3	3	0	0	0
0	2	3	4	0	0	0
0	2	3	5	0	0	0
0	2	3	6	0	0	0
0	2	3	7	0	0	0
0	2	3	8	0	0	0
0	2	3	9	0	0	0
0	2	3	a	0	0	0
0	2	3	b	1e	0	1e
0	2	3	c	0	0	0
0	2	3	d	0	0	0
0	2	3	e	0	0	0
0	2	3	f	0	0	0
0	2	3	10	0	0	0
0	2	3	11	0	0	0
0	2	3	12	0	0	0
0	2	3	13	0	0	0
0	2	3	14	0	0	0
0	2	3	15	0	0	0
0	2	3	16	0	0	0
0	2	3	17	0	0	0
0	2	3	18	0	0	0
0	2	3	19	0	0	0
0	2	3	1a	0	0	0
0	2	3	1b	0	0	0
0	2	3	1c	0	0	0
0	2	3	1d	0	0	0
0	2	3	1e	0	0	0
0	2	3	1f	0	0	0
0	2	4	0	0	0	0
0	2	4	1	0	0	0
0	2	4	2	0	0	0
0	2	4	3	0	0	0
0	2	4	4	0	0	0
0	2	4	5	0	0	0
0	2	4	6	0	0	0
0	2	4	7	0	0	0
0	2	4	8	0	0	0
0	2	4	9	0	0	0
0	2	4	a	0	0	0
0	2	4	b	0	0	0
0	2	4	c	0	0	0
0	2	4	d	0	0	0
0	2	4	e	0	0	0
0	2	4	f	0	0	0
0	2	4	10	0	0	0
0	2	4	11	0	0	0
0	2	4	12	0	0	0
0	2	4	13	0	0	0
0	2	4	14	0	0	0
0	2	4	15	0	0	0
0	2	4	16	0	0	0
0	2	4	17	0	0	0
0	2	4	18	0	0	0
0	2	4	19	0	0	0
0	2	4	1a	0	0	0
0	2	4	1b	0	0	0
0	2	4	1c	0	0	0
0	2	4	1d	0	0	0
0	2	4	1e	0	0	0
0	2	4	1f	0	0	0
0	2	5	0	0	0	0
0	2	5	1	0	0	0
0	2	5	2	0	0	0
0	2	5	3	0	0	0
0	2	5	4	0	0	0
0	2	5	5	0	0	0
0	2	5	6	0	0	0
0	2	5	7	0	0	0
0	2	5	8	0	0	0
0	2	5	9	0	0	0
0	2	5	a	0	0	0
0	2	5	b	0	0	0
0	2	5	c	0	0	0
0	2	5	d	0	0	0
0	2	5	e	0	0	0
0	2	5	f	0	0	0
0	2	5	10	0	0	0
0	2	5	11	0	0	0
0	2	5	12	0	0	0
0	2	5	13	0	0	0
0	2	5	14	0	0	0
0	2	5	15	0	0	0
0	2	5	16	0	0	0
0	2	5	17	0	0	0
0	2	5	18	0	0	0
0	2	5	19	0	0	0
0	2	5	1a	0	0	0
0	2	5	1b	0	0	0
0	2	5	1c	0	0	0
0	2	5	1d	0	0	0
0	2	5	1e	0	0	0
0	2	5	1f	0	0	0
0	2	6	0	0	0	0
0	2	6	1	0	0	0
0	2	6	2	0	0	0
0	2	6	3	0	0	0
0	2	6	4	0	0	0
0	2	6	5	0	0	0
0	2	6	6	0	0	0
0	2	6	7	0	0	0
0	2	6	8	0	0	0
0	2	6	9	0	0	0
0	2	6	a	0	0	0
0	2	6	b	0	0	0
0	2	6	c	0	0	0
0	2	6	d	0	0	0
0	2	6	e	0	0	0
0	2	6	f	0	0	0
0	2	6	10	0	0	0
0	2	6	11	0	0	0
0	2	6	12	0	0	0
0	2	6	13	0	0	0
0	2	6	14	0	0	0
0	2	6	15	0	0	0
0	2	6	16	0	0	0
0	2	6	17	0	0	0
0	2	6	18	0	0	0
0	2	6	19	0	0	0
0	2	6	1a	0	0	0
0	2	6	1b	0	0	0
0	2	6	1c	0	0	0
0	2	6	1d	0	0	0
0	2	6	1e	0	0	0
0	2	6	1f	0	0	0
0	3	0	0	0	0	0
0	3	0	1	0	0	0
0	3	0	2	0	0	0
0	3	0	3	0	0	0
0	3	0	4	0	0	0
0	3	0	5	0	0	0
0	3	0	6	0	0	0
0	3	0	7	0	0	0
0	3	0	8	0	0	0
0	3	0	9	0	0	0
0	3	0	a	0	0	0
0	3	0	b	2e	0	2e
0	3	0	c	0	0	0
0	3	0	d	0	0	0
0	3	0	e	0	0	0
0	3	0	f	0	0	0
0	3	0	10	0	0	0
0	3	0	11	0	0	0
0	3	0	12	0	0	0
0	3	0	13	0	0	0
0	3	0	14	0	0	0
0	3	0	15	0	0	0
0	3	0	16	0	0	0
0	3	0	17	0	0	0
0	3	0	18	0	0	0
0	3	0	19	0	0	0
0	3	0	1a	0	0	0
0	3	0	1b	0	0	0
0	3	0	1c	0	0	0
0	3	0	1d	0	0	0
0	3	0	1e	0	0	0
0	3	0	1f	0	0	0
0	3	1	0	0	0	0
0	3	1	1	0	0	0
0	3	1	2	0	0	0
0	3	1	3	0	0	0
0	3	1	4	0	0	0
0	3	1	5	0	0	0
0	3	1	6	0	0	0
0	3	1	7	0	0	0
0	3	1	8	0	0	0
0	3	1	9	0	0	0
0	3	1	a	0	0	0
0	3	1	b	3f	0	3f
0	3	1	c	0	0	0
0	3	1	d	0	0	0
0	3	1	e	0	0	0
0	3	1	f	0	0	0
0	3	1	10	0	0	0
0	3	1	11	0	0	0
0	3	1	12	0	0	0
0	3	1	13	0	0	0
0	3	1	14	0	0	0
0	3	1	15	0	0	0
0	3	1	16	0	0	0
0	3	1	17	0	0	0
0	3	1	18	0	0	0
0	3	1	19	0	0	0
0	3	1	1a	0	0	0
0	3	1	1b	0	0	0
0	3	1	1c	0	0	0
0	3	1	1d	0	0	0
0	3	1	1e	0	0	0
0	3	1	1f	0	0	0
0	3	2	0	0	0	0
0	3	2	1	0	0	0
0	3	2	2	0	0	0
0	3	2	3	0	0	0
0	3	2	4	0	0	0
0	3	2	5	0	0	0
0	3	2	6	0	0	0
0	3	2	7	0	0	0
0	3	2	8	0	0	0
0	3	2	9	0	0	0
0	3	2	a	0	0	0
0	3	2	b	b	0	b
0	3	2	c	0	0	0
0	3	2	d	0	0	0
0	3	2	e	0	0	0
0	3	2	f	0	0	0
0	3	2	10	0	0	0
0	3	2	11	0	0	0
0	3	2	12	0	0	0
0	3	2	13	0	0	0
0	3	2	14	0	0	0
0	3	2	15	0	0	0
0	3	2	16	0	0	0
0	3	2	17	0	0	0
0	3	2	18	0	0	0
0	3	2	19	0	0	0
0	3	2	1a	0	0	0
0	3	2	1b	0	0	0
0	3	2	1c	0	0	0
0	3	2	1d	0	0	0
0	3	2	1e	0	0	0
0	3	2	1f	0	0	0
0	3	3	0	0	0	0
0	3	3	1	0	0	0
0	3	3	2	0	0	0
0	3	3	3	0	0	0
0	3	3	4	0	0	0
0	3	3	5	0	0	0
0	3	3	6	0	0	0
0	3	3	7	0	0	0
0	3	3	8	0	0	0
0	3	3	9	0	0	0
0	3	3	a	0	0	0
0	3	3	b	1e	0	1e
0	3	3	c	0	0	0
0	3	3	d	0	0	0
0	3	3	e	0	0	0
0	3	3	f	0	0	0
0	3	3	10	0	0	0
0	3	3	11	0	0	0
0	3	3	12	0	0	0
0	3	3	13	0	0	0
0	3	3	14	0	0	0
0	3	3	15	0	0	0
0	3	3	16	0	0	0
0	3	3	17	0	0	0
0	3	3	18	0	0	0
0	3	3	19	0	0	0
0	3	3	1a	0	0	0
0	3	3	1b	0	0	0
0	3	3	1c	0	0	0
0	3	3	1d	0	0	0
0	3	3	1e	0	0	0
0	3	3	1f	0	0	0
0	3	4	0	0	0	0
0	3	4	1	0	0	0
0	3	4	2	0	0	0
0	3	4	3	0	0	0
0	3	4	4	0	0	0
0	3	4	5	0	0	0
0	3	4	6	0	0	0
0	3	4	7	0	0	0
0	3	4	8	0	0	0
0	3	4	9	0	0	0
0	3	4	a	0	0	0
0	3	4	b	0	0	0
0	3	4	c	0	0	0
0	3	4	d	0	0	0
0	3	4	e	0	0	0
0	3	4	f	0	0	0
0	3	4	10	0	0	0
0	3	4	11	0	0	0
0	3	4	12	0	0	0
0	3	4	13	0	0	0
0	3	4	14	0	0	0
0	3	4	15	0	0	0
0	3	4	16	0	0	0
0	3	4	17	0	0	0
0	3	4	18	0	0	0
0	3	4	19	0	0	0
0	3	4	1a	0	0	0
0	3	4	1b	0	0	0
0	3	4	1c	0	0	0
0	3	4	1d	0	0	0
0	3	4	1e	0	0	0
0	3	4	1f	0	0	0
0	3	5	0	0	0	0
0	3	5	1	0	0	0
0	3	5	2	0	0	0
0	3	5	3	0	0	0
0	3	5	4	0	0	0
0	3	5	5	0	0	0
0	3	5	6	0	0	0
0	3	5	7	0	0	0
0	3	5	8	0	0	0
0	3	5	9	0	0	0
0	3	5	a	0	0	0
0	3	5	b	0	0	0
0	3	5	c	0	0	0
0	3	5	d	0	0	0
0	3	5	e	0	0	0
0	3	5	f	0	0	0
0	3	5	10	0	0	0
0	3	5	11	0	0	0
0	3	5	12	0	0	0
0	3	5	13	0	0	0
0	3	5	14	0	0	0
0	3	5	15	0	0	0
0	3	5	16	0	0	0
0	3	5	17	0	0	0
0	3	5	18	0	0	0
0	3	5	19	0	0	0
0	3	5	1a	0	0	0
0	3	5	1b	0	0	0
0	3	5	1c	0	0	0
0	3	5	1d	0	0	0
0	3	5	1e	0	0	0
0	3	5	1f	0	0	0
0	3	6	0	0	0	0
0	3	6	1	0	0	0
0	3	6	2	0	0	0
0	3	6	3	0	0	0
0	3	6	4	0	0	0
0	3	6	5	0	0	0
0	3	6	6	0	0	0
0	3	6	7	0	0	0
0	3	6	8	0	0	0
0	3	6	9	0	0	0
0	3	6	a	0	0	0
0	3	6	b	0	0	0
0	3	6	c	0	0	0
0	3	6	d	0	0	0
0	3	6	e	0	0	0
0	3	6	f	0	0	0
0	3	6	10	0	0	0
0	3	6	11	0	0	0
0	3	6	12	0	0	0
0	3	6	13	0	0	0
0	3	6	14	0	0	0
0	3	6	15	0	0	0
0	3	6	16	0	0	0
0	3	6	17	0	0	0
0	3	6	18	0	0	0
0	3	6	19	0	0	0
0	3	6	1a	0	0	0
0	3	6	1b	0	0	0
0	3	6	1c	0	0	0
0	3	6	1d	0	0	0
0	3	6	1e	0	0	0
0	3	6	1f	0	0	0
0	4	0	0	0	0	0
0	4	0	1	0	0	0
0	4	0	2	0	0	0
0	4	0	3	0	0	0
0	4	0	4	0	0	0
0	4	0	5	0	0	0
0	4	0	6	0	0	0
0	4	0	7	0	0	0
0	4	0	8	0	0	0
0	4	0	9	0	0	0
0	4	0	a	0	0	0
0	4	0	b	2e	0	2e
0	4	0	c	0	0	0
0	4	0	d	0	0	0
0	4	0	e	0	0	0
0	4	0	f	0	0	0
0	4	0	10	0	0	0
0	4	0	11	0	0	0
0	4	0	12	0	0	0
0	4	0	13	0	0	0
0	4	0	14	0	0	0
0	4	0	15	0	0	0
0	4	0	16	0	0	0
0	4	0	17	0	0	0
0	4	0	18	0	0	0
0	4	0	19	0	0	0
0	4	0	1a	0	0	0
0	4	0	1b	0	0	0
0	4	0	1c	0	0	0
0	4	0	1d	0	0	0
0	4	0	1e	0	0	0
0	4	0	1f	0	0	0
0	4	1	0	0	0	0
0	4	1	1	0	0	0
0	4	1	2	0	0	0
0	4	1	3	0	0	0
0	4	1	4	0	0	0
0	4	1	5	0	0	0
0	4	1	6	0	0	0
0	4	1	7	0	0	0
0	4	1	8	0	0	0
0	4	1	9	0	0	0
0	4	1	a	0	0	0
0	4	1	b	3f	0	3f
0	4	1	c	0	0	0
0	4	1	d	0	0	0
0	4	1	e	0	0	0
0	4	1	f	0	0	0
0	4	1	10	0	0	0
0	4	1	11	0	0	0
0	4	1	12	0	0	0
0	4	1	13	0	0	0
0	4	1	14	0	0	0
0	4	1	15	0	0	0
0	4	1	16	0	0	0
